DESCRICAO;CATEGORIA;TIPO_LOGRADOURO;LOGRADOURO;COMPLEMENTO;NOME_BAIRRO_POPULAR;REF_LOCALIZACAO
Parque Ecológico e de Lazer do Bairro Caiçara;NATURAL;     ;     ;     ;     ;     
Parque Ecológico e Cultural Professor Marcos Mazzoni;NATURAL;     ;     ;     ;     ;     
Parque Ecológico e Cultural Professor Marcos Mazzoni;NATURAL;     ;     ;     ;     ;     
Parque da Matinha;NATURAL;     ;     ;     ;     ;     
Parque do Bairro Jardim Leblon;NATURAL;     ;     ;     ;     ;     
Parque Cássia Eller;NATURAL;     ;     ;     ;     ;     
Parque Primeiro de Maio;NATURAL;     ;     ;     ;     ;     
Parque Fernão Dias;NATURAL;     ;     ;     ;     ;     
Parque Ecológico Universitário;NATURAL;     ;     ;     ;     ;     
Centro Cultural Vila Santa Rita;CULTURAL;RUA;ANA RAFAEL DOS SANTOS;     ;Santa Rita;     
Biblioteca do Centro Cultural Vila Santa Rita;CULTURAL;RUA;ANA RAFAEL DOS SANTOS;     ;Santa Rita;     
Centro Cultural Zilah Spósito;CULTURAL;RUA;CARNAUBA;     ;Zilah Spósito;     
Biblioteca do Centro Cultural Zihah Spósito;CULTURAL;RUA;CARNAUBA;     ;Zilah Spósito;     
Escola Livre de Artes Arena da Cultura;CULTURAL;AVENIDA;DOS ANDRADAS;B;Centro;     
Museu Casa Kubitschek;CULTURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Bandeirantes;     
Museu Da Moda;CULTURAL;RUA;DA BAHIA;     ;Centro;     
Biblioteca do Museu da Moda;CULTURAL;RUA;DA BAHIA;     ;Centro;     
Museu Da Imagem E Do Som De Belo Horizonte;CULTURAL;AVENIDA;ALVARES CABRAL;     ;Lourdes;     
Cine Santa Tereza;CULTURAL;RUA;ESTRELA DO SUL;     ;Santa Tereza;     
Biblioteca do MIS Cine Santa Tereza;CULTURAL;RUA;ESTRELA DO SUL;     ;Santa Tereza;     
Museu de Arte da Pampulha;CULTURAL;PRACA;DO MUSEU DE ARTE;     ;Lagoa da Pampulha;     
Biblioteca do Museu de Arte da Pampulha;CULTURAL;PRACA;DO MUSEU DE ARTE;     ;Lagoa da Pampulha;     
Museu Histórico Abílio Barreto;CULTURAL;AVENIDA;PRUDENTE DE MORAIS;     ;Cidade Jardim;     
Biblioteca do Museu Histórico Abílio Barreto;CULTURAL;AVENIDA;PRUDENTE DE MORAIS;     ;Cidade Jardim;     
Teatro Francisco Nunes;CULTURAL;AVENIDA;AFONSO PENA;     ;Centro;     
Teatro Marilia;CULTURAL;AVENIDA;PROFESSOR ALFREDO BALENA;     ;Santa Efigênia;     
Espaço Cênico Yogifumi Yagi / Teatro Raul Belém Machado;CULTURAL;RUA;LEONIL PRATA;     ;Alípio de Melo;     
Parque Ecológico Vencesli Firmino da Silva;NATURAL;RUA;DOS AGRONOMOS;     ;Alípio de Melo;     
Parque Ecológico e de Lazer do Bairro Caiçara;NATURAL;RUA;DO TICOTICO;     ;Alto Caiçaras;     
Parque Julien Rien;NATURAL;PRACA;MARINO MENDES CAMPOS;     ;Anchieta;     
Parque Julien Rien;NATURAL;AVENIDA;DOS BANDEIRANTES;     ;Anchieta;     
Cemitério do Bonfim;NATURAL;RUA;BONFIM;     ;Bonfim;     
Parque Aggeo Pio Sobrinho;NATURAL;AVENIDA;PROFESSOR MARIO WERNECK;     ;Buritis;     
Cemitério da Paz;NATURAL;AVENIDA;PRESIDENTE CARLOS LUZ;     ;Caiçaras;     
Parque Municipal Ursulina de Andrade Mello;NATURAL;RUA;DOUTOR SYLVIO MENICUCCI;     ;Castelo;     
Parque Municipal Américo Renné Giannetti;NATURAL;AVENIDA;AFONSO PENA;     ;Centro;     
Parque Municipal Américo Renné Giannetti;NATURAL;AVENIDA;DOS ANDRADAS;     ;Centro;     
Parque Municipal Américo Renné Giannetti;NATURAL;AVENIDA;AFONSO PENA;     ;Centro;     
Parque Municipal Américo Renné Giannetti;NATURAL;ALAMEDA;EZEQUIEL DIAS;     ;Centro;     
Parque Ecológico e Cultural Professor Marcos Mazzoni;NATURAL;RUA;DEPUTADO BERNARDINO DE SENA FIGUEIREDO;     ;Cidade Nova;     
CEVAE Coqueiros;NATURAL;RUA;ENEIDA;     ;Coqueiros;     
Parque Amilcar Vianna Martins;NATURAL;RUA;COBRE;     ;Cruzeiro;     
Parque Dona Clara;NATURAL;RUA;MINISTRO OROZIMBO NONATO;     ;Dona Clara;     
Parque da Vila Pantanal;NATURAL;RUA;GERALDO VASCONCELLOS;     ;Estoril;     
Parque Bandeirante Silva Ortiz;NATURAL;RUA;JOSE CLAUDIO REZENDE;     ;Estoril;     
Parque Halley Alves Bessa;NATURAL;RUA;AUSTRIA;     ;Havaí;     
Parque do Conjunto Estrela Dalva;NATURAL;AVENIDA;COSTA DO MARFIM;     ;Havaí;     
Parque do Bairro Havaí;NATURAL;RUA;MANILA;     ;Havaí;     
Parque Municipal Fazenda Lagoa do Nado;NATURAL;RUA;MINISTRO HERMENEGILDO DE BARROS;     ;Itapoã;     
Parque Municipal Fazenda Lagoa do Nado;NATURAL;RUA;DESEMBARGADOR LINCOLN PRATES;     ;Itapoã;     
Cemitério da Consolação;NATURAL;RUA;JOSE GOMES DOMINGUES;     ;Jaqueline;     
Parque Mosteiro Tom Jobim;NATURAL;RUA;DOUTOR ISMAEL DE FARIA;     ;Luxemburgo;     
Parque Municipal das Mangabeiras;NATURAL;RUA;CARACA;     ;Mangabeiras;     
Parque Municipal das Mangabeiras;NATURAL;PRACA;CIDADE DO PORTO;     ;Mangabeiras;     
Parque da Serra do Curral;NATURAL;AVENIDA;JOSE DE PATROCINIO PONTES;     ;Mangabeiras;     
Parque Municipal das Mangabeiras;NATURAL;AVENIDA;JOSE DE PATROCINIO PONTES;     ;Mangabeiras;     
Parque Nossa Senhora da Piedade;NATURAL;RUA;RUBENS DE SOUZA PIMENTEL;     ;Minaslândia;     
Parque Primeiro de Maio;NATURAL;RUA;JOANA D'ARC;     ;Minaslândia;     
CEVAE Morro das Pedras;NATURAL;RUA;BELFORT ROXO;     ;Nova Granada;     
Parque Marcus Pereira de Mello;NATURAL;RUA;DOUTOR JOSE OLIMPIO BORGES;     ;Novo São Lucas;     
Parque Elias Michel Farah;NATURAL;RUA;DESEMBARGADOR PAULO MOTA;     ;Ouro Preto;     
Parque Ecológico Renato Azeredo;NATURAL;RUA;ANTONIO PEREGRINO NASCIMENTO;     ;Palmares;     
Jardim Zoológico;NATURAL;AVENIDA;ANTONIO FRANCISCO LISBOA;     ;Bandeirantes;     
Jardim Zoológico;NATURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Bandeirantes;     
Jardim Botânico;NATURAL;AVENIDA;OTACILIO NEGRAO DE LIMA;     ;Bandeirantes;     
Parque Cássia Eller;NATURAL;RUA;SILVIO PEREIRA BATISTA;     ;Paquetá;     
Parque do Bairro Planalto;NATURAL;RUA;SAO JOSE DO JACURI;     ;Planalto;     
Parque Jornalista Eduardo Couri;NATURAL;AVENIDA;ARTUR BERNARDES;     ;Santa Lúcia;     
Parque Ecológico Pedro Machado;NATURAL;RUA;CASTRO MENEZES;     ;Santa Maria;     
Parque Ecológico Universitário;NATURAL;RUA;ARISTOTELES RIBEIRO VASCONCELOS;A;Santa Rosa;     
